"","name","group","type","category","valuetype","default","min","max","Dislich2018"
"105","hq_lut-0-5-sens-lut-1","parameter","global","biodiversity","numeric","0",NA,0.1,NA
"106","hq_lut-0-5-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"107","hq_lut-0-5-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"108","hq_lut-1-1-sens-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"109","hq_lut-1-1-sens-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"110","hq_lut-1-1-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"111","hq_lut-1-1-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"112","hq_lut-1-2-sens-lut-0","parameter","global","biodiversity","numeric","0.8",0.792,0.808,NA
"113","hq_lut-1-2-sens-lut-1","parameter","global","biodiversity","numeric","0.8",0.792,0.808,NA
"114","hq_lut-1-2-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"115","hq_lut-1-2-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"116","hq_lut-1-3-sens-lut-0","parameter","global","biodiversity","numeric","0.6",0.594,0.606,NA
"117","hq_lut-1-3-sens-lut-1","parameter","global","biodiversity","numeric","0.6",0.594,0.606,NA
"118","hq_lut-1-3-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"119","hq_lut-1-3-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"120","hq_lut-1-4-sens-lut-0","parameter","global","biodiversity","numeric","0.4",0.396,0.404,NA
"121","hq_lut-1-4-sens-lut-1","parameter","global","biodiversity","numeric","0.4",0.396,0.404,NA
"122","hq_lut-1-4-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"123","hq_lut-1-4-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"124","hq_lut-1-5-sens-lut-0","parameter","global","biodiversity","numeric","0.2",0.198,0.202,NA
"125","hq_lut-1-5-sens-lut-1","parameter","global","biodiversity","numeric","0.2",0.198,0.202,NA
"126","hq_lut-1-5-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"127","hq_lut-1-5-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"128","hq_forest-sens-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"129","hq_forest-sens-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"130","hq_forest-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"131","hq_forest-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"132","biodiv_birds","parameter","global","birdrichness","string","""mahnken/koller""",NA,NA,NA
"133","bird_spillover_effect","parameter","global","birdrichness","numeric","0.25",0.225,0.275,NA
"134","bird_intercept","parameter","global","birdrichness","numeric","2.078083",1.8702747,2.2858913,NA
"135","bird_pbeetle","parameter","global","birdrichness","numeric","0.027132",0.0244188,0.0298452,NA
"136","bird_pant","parameter","global","birdrichness","numeric","0.010402",0.0093618,0.0114422,NA
"137","bird_plud","parameter","global","birdrichness","numeric","0.476163",0.4285467,0.5237793,NA
"138","bird_pcanopy","parameter","global","birdrichness","numeric","2.20185",1.981665,2.422035,NA
"139","bc_r-intercept","parameter","global","biocontrol","numeric","0.307045",0.2763405,0.3377495,NA
"140","bc_r-pzmax","parameter","global","biocontrol","numeric","-0.051988",-0.0571868,-0.0467892,NA
"141","bc_r-prubber","parameter","global","biocontrol","numeric","0.006531",0.0058779,0.0071841,NA
